"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_I_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_clicks_P_thetas","tv_S_thetas","facebook_I_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_clicks_P_alphas","tv_S_alphas","facebook_I_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_clicks_P_gammas","tv_S_gammas","cluster","n","top_sol"
"65","1_97_1",0,0.0263216057666386,0.0517856364862619,0.0517856364862619,0.750142215192446,0.702930473836708,0.550338503285298,0.604400044415128,0.949902652257082,0.236231798110023,0.668161808458322,0.661279035754309,0,0.88222892249339,0.99340478219793,0.497109432396492,0.997961788881888,0.258760020579387,0.76796889370781,0.432641747005301,0.668560053708915,0.997233182731438,1,50,FALSE
"66","1_97_6",0,0.0222772260112797,0.0519929454429611,0.0519929454429611,0.610672815096492,0.629165996449826,0.445520902832686,0.454973632481501,0.89612154207533,0.259484845096849,0.294430029866317,0.941911652545144,0.577209358599694,0.0011624947568682,1,0.437323944777873,0.261203046763861,0.326556516820243,0.216339874234477,0.532760491731116,0.607434647901733,0.623118222258416,2,47,FALSE
"67","1_98_1",0,0.0141153938161761,0.0525979988609984,0.0525979988609984,0.553476835477962,0.111742892140036,0.451599431533119,0.103697388699121,0.566559261300488,0.960802170821546,0.434919779136921,0.997153435436917,0.366794738136615,0.689082215291637,0.798151401760639,0.836200951366069,0.829138977406482,0.840265340222581,0.315459041519896,0.0553196427601832,0.893755576650957,0.332980431427253,3,56,FALSE
"68","1_98_5",0,0.0199135900319127,0.052083811214487,0.052083811214487,0.381050106566284,0.468842957993376,0.482578140018289,0.387358289140733,0.807215036720587,0.0664721543173504,0.393312552272731,0.720811098613152,0.460976610732449,0.594663288705816,0.858231550071952,0.499804864716527,0.250963862441192,0.98250299127089,0.703948288100295,0.610792925822269,0.825108490462135,0.883290207613304,2,47,FALSE
"69","1_98_7",0,0.0791719051295584,0.0505730017016631,0.0505730017016631,0.929564093804976,0.920014717591558,0.525113314149236,0.635974798028374,0.712695761902774,0.0511280884110389,0.176570359348555,0.937214913011941,0.832512368713216,0.0402196384162046,0.0867333697098268,0.0878409695873857,0.651442324636283,0.148944819411879,0.356100569046019,0.616751708463344,0.111473141530005,0.917903910295071,1,50,FALSE
"70","1_99_3",0,0.014829096579204,0.0524788612057201,0.0524788612057201,0.79310525004668,0.478878004343431,0.364697281606459,0.644817805395919,0.766779947712933,0.403740149486089,0.200323061820312,0.888598439693909,0.617238385273632,0.0995280101330403,0.974030987914366,0.79476193206453,0.215058174656246,0.754070155132958,0.376342830390823,0.570988535529615,0.909960109821598,0.282643767240957,3,56,FALSE
"71","1_100_4",0,0.0175674685421783,0.0522709616125761,0.0522709616125761,0.130440448613764,0.442388090794593,0.0066165233384502,0.427492508251087,0.879572006325425,0.44557862336456,0.427392277561656,0.735890488384443,0.34569221801493,0.94640909586219,0.820802957306501,0.761380458401834,0.0699328268312824,0.753705012715387,0.408813799412572,0.0646014777893133,0.701264989558843,0.655981166790133,3,56,FALSE
"72","1_100_7",0,0.07023160137562,0.0506983170752792,0.0506983170752792,0.669985019824794,0.654345539897844,0.138831357294349,0.323646176585002,0.930525550952152,0.242331256524277,0.797895423352718,0.925546702199194,0.445929827606813,0.639921803150043,0.784432748722113,0.932219648084759,0.756748570293958,0.822237387662856,0.205260572707669,0.530896892777692,0.524930696652059,0.773606151099563,1,50,FALSE
"73","1_101_2",0,0.0167741555199072,0.0523448894400954,0.0523448894400954,0.72280972024092,0.693659383918736,0.200901589562071,0.510671045883693,0.876356489643099,0.852187208806175,0.0669979092636272,0.944991680938737,0.466500602355143,0.670034042977395,0.992363920246203,0.797686571007994,0.570160631040414,0.596201037299247,0.0799924956142067,0.927841786918904,0.930845795374674,0.677663904431609,3,56,FALSE
"74","1_102_4",0,0.0131986994896629,0.0526940678925398,0.0526940678925398,0.441493842067173,0.206757144135908,0.161194695026987,0.805231573017612,0.354874892000421,0.622158031240868,0.0941454778999342,0.884160972805301,0.629042029996512,0.06800303200645,0.880155230076518,0.997332246791872,0.207175288153658,0.93522449133671,0.914748142503215,0.73328856086493,0.899018814297296,0.497771628055194,3,56,FALSE
