"","facebook_I_alphas","facebook_I_gammas","facebook_I_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_clicks_P_alphas","search_clicks_P_gammas","search_clicks_P_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","tv_S_inflexion","ooh_S_inflexion","print_S_inflexion","facebook_I_inflexion","search_clicks_P_inflexion","newsletter_inflexion","tv_S_inflation","ooh_S_inflation","print_S_inflation","facebook_I_inflation","search_clicks_P_inflation","newsletter_inflation","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"76",2.04857056875,0.61340097257,0.29516564244,1.45591500525,0.45878240245,0.38496371407,0.517400883995,0.43467699483,0.39725408722,0.7780601717,0.59015364672,0.16435847647,2.90170556075,0.91770579444,0.026879998911,0.99955045015,0.94438949379,0.30259059657,1,149724.904912124,223067.749042356,16523.5822905375,8410.39193594662,16763.7232044923,53466.7604505007,1.43362464208241,1.65891826712325,1.1965318618626,1.40809229176252,1.02761157183867,1.61817387966271,0.947777069769677,NA,NA,0.0510112296481084,NA,NA,0.0510112296481084,0.38469265863706,0,54657.7647822175,0.0007347841494,65481090.2533626,1e-04,1,0.0502209663391113,107.692158937454,"4_238_7",4,238,7,1666,FALSE,TRUE,3,0.0579416771224882,2,FALSE
"77",1.96697380275,0.81970054311,0.23821301508,0.665565818425,0.343288325507,0.38820555049,0.506193820695,0.42180074599,0.38811754762,0.79546753035,0.40418462502,0.119870518381,2.01021648025,0.98580755488,0.03260993679,0.9850557572,0.92097897505,0.31208188637,1,146076.555814011,215183.745156701,11316.4654117938,10917.0195974397,18007.9543316786,40179.5057806966,1.45338015012763,1.63416117083084,1.13612231909841,1.30478298395085,1.03369293862625,1.6266290806081,0.945065260778655,NA,NA,0.0524863334161124,NA,NA,0.0524863334161124,0.351693383556909,0,50484.1880562367,0.0006710406456,65481090.2533626,1e-04,1,0.0613420009613037,108.778682947159,"4_241_3",4,241,3,1683,FALSE,TRUE,2,0.0369374515276634,2,FALSE
"78",2.9071542225,0.93967924769,0.26502678657,0.652497425125,0.37333832709,0.39631778176,0.5072866895,0.367592589897,0.39988971466,0.7795383554,0.3012113458805,0.14828916895,2.747806872,0.91388944792,0.04012335087,0.9854664879,0.92458033106,0.31969444098,1,146703.482888071,188969.378909152,8433.46908962555,12678.4928322432,16703.3222330216,44172.0541879298,1.46962223294947,1.66619986184176,1.17398688123819,1.35143492481775,1.0417755559594,1.64817928036819,0.936999472619551,NA,NA,0.0562075679020521,NA,NA,0.0562075679020521,0.310061922403124,0,115786.822167671,0.001668415075,65481090.2533626,1e-04,1,0.0460278987884521,110.367024898529,"4_244_7",4,244,7,1708,FALSE,TRUE,1,0.0157691367810314,2,FALSE
"79",1.96697380275,0.81970054311,0.23821301508,0.665565818425,0.343288325507,0.38820555049,0.506193820695,0.42180074599,0.38811754762,0.79546753035,0.40418462502,0.119870518381,2.01021648025,0.98580755488,0.03260993679,0.9850557572,0.92097897505,0.31208188637,1,146076.555814011,215183.745156701,11316.4654117938,10917.0195974397,18007.9543316786,40179.5057806966,1.45338015012763,1.63416117083084,1.13612231909841,1.30478298395085,1.03369293862625,1.6266290806081,0.944237089533501,NA,NA,0.0528804835598892,NA,NA,0.0528804835598892,0.347327050684668,0,57839.4414270573,0.0007833782524,65481090.2533626,1e-04,1,0.0529918670654297,110.706485033035,"4_245_5",4,245,5,1713,FALSE,TRUE,3,0.0342735521862876,NA,NA
"80",2.96251740925,0.89304156639,0.27719472354,0.558756602525,0.62036311321,0.39363055798,0.5039544011555,0.43208369118,0.39822809206,0.8055613292,0.81196245373,0.13664279509,2.74264695375,0.88226980476,0.07300336155,0.97644708755,0.92590957366,0.319267747365,1,146911.14762025,221878.964746795,22733.6329853217,12125.4593100597,16571.6328046725,73135.8700308514,1.46870226522662,1.66160178538341,1.15816934582217,1.37374280098476,1.07866424860426,1.64097768908665,0.914666126905013,NA,NA,0.0654159164623338,NA,NA,0.0654159164623338,0.295456910895743,0,271552.280212154,0.004047438325,65481090.2533626,1e-04,1,0.0498991012573242,111.233741998672,"4_246_6",4,246,6,1721,FALSE,TRUE,2,0.029977390462495,2,FALSE
"81",2.73033187425,0.75107295856,0.25862219694,0.6665784119,0.43659525152,0.38127242605,0.50899321325,0.42555467512,0.39368617258,0.8001276944,0.9514456018,0.113273102809,2.51031006875,0.9105655542,0.0004367104263,0.98927462855,0.88923659235,0.338035552855,1,141243.28031286,217878.250535908,26638.7892832936,10101.2096298665,16633.0409100136,50633.1797183653,1.51028355980307,1.64916169705254,1.12767762376409,1.33998621816359,1.00043689848703,1.60865281808593,0.939428957343797,NA,NA,0.0551131490112902,NA,NA,0.0551131490112902,0.324669706071116,0,100670.539805781,0.001437542405,65481090.2533626,1e-04,1,0.0521159172058105,114.344779014587,"4_253_5",4,253,5,1769,FALSE,TRUE,3,0.0217208840869474,2,FALSE
"82",2.96251740925,0.89304156639,0.27719472354,0.558756602525,0.62061153124,0.38578115008,0.507780591305,0.43261332063,0.39579982837,0.81302954655,0.98324638487,0.13519781176,2.74264695375,0.88226980476,0.07300336155,0.97644708755,0.92590957366,0.319267747365,1,146911.14762025,221797.335337653,27529.2924612161,12125.4593100597,16571.6328046725,72404.8371127463,1.46870226522662,1.65492766141093,1.15623641389772,1.37374280098476,1.07866424860426,1.62029757944567,0.914761316773295,NA,NA,0.0653794205800452,NA,NA,0.0653794205800452,0.298690902967512,0,271552.280212154,0.004047438325,65481090.2533626,1e-04,1,0.0640120506286621,115.137089967728,"4_255_3",4,255,3,1781,FALSE,TRUE,3,0.0299918959293226,2,FALSE
"83",2.89765622575,0.79875140917,0.21749507319,0.7235480765,0.51132129193,0.35794857439,0.50507461169,0.46684761618,0.3884465224,0.80720777445,0.76880873172,0.13232048383,2.01467895475,0.93770283213,0.018492599433,0.99329117535,0.9523771856,0.3218158727,1,151130.844428176,238214.642159941,21525.3695191823,10541.0508371156,17128.8334398101,57518.1643390497,1.47421324761534,1.63503976751456,1.1524065438307,1.27091976587322,1.01883593436357,1.55098998634345,0.941672817980783,NA,NA,0.0540826792889952,NA,NA,0.0540826792889952,0.333537701795538,0,83994.7475440817,0.001182851166,65481090.2533626,1e-04,1,0.0486831665039062,116.491657972336,"4_258_3",4,258,3,1802,FALSE,TRUE,3,0.026197826633542,2,FALSE
"84",2.416218012,0.99234213874,0.24041250324,0.731403382475,0.36424369182,0.38022385951,0.501760965673,0.38211357161,0.39390201847,0.7900667609,0.51092597477,0.110814623332,2.62323066925,0.98690995695,0.03408597852,0.993531478,0.88796966424,0.305956598695,1,140800.919526062,195664.417598363,14305.015971894,13229.7643593041,18028.1625856502,42183.9276135413,1.44056912570277,1.64974867459106,1.124562678207,1.30848616473139,1.03527102391985,1.60596861167584,0.934939054212645,NA,NA,0.0571193014433283,NA,NA,0.0571193014433283,0.300005288123857,0,134371.503884684,0.001952260996,65481090.2533626,1e-04,1,0.0566849708557129,117.274266004562,"4_260_1",4,260,1,1814,FALSE,TRUE,1,0.0145715160836144,2,FALSE
"85",2.622684613,0.89111380258,0.27124410105,0.81309359375,0.38201273626,0.39607369054,0.501492024878,0.41052846007,0.39612974434,0.7891990851,0.74181790807,0.106114476862,2.07008841875,0.99837913992,0.021535319562,0.96573981465,0.81319484139,0.344460312565,1,129218.635124185,210520.015283284,20769.565912656,12061.6467812941,18237.2476617321,45183.6126938164,1.52506308595491,1.65583129481867,1.11865497824177,1.36274062320786,1.02200236058631,1.64752252250925,0.944473539923174,NA,NA,0.0527682504131568,NA,NA,0.0527682504131568,0.349163163401565,0,59304.5807871825,0.0008057554896,65481090.2533626,1e-04,1,0.0467431545257568,117.584692001343,"4_260_6",4,260,6,1819,FALSE,TRUE,3,0.0354058213291219,2,FALSE
