"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_I_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_clicks_P_thetas","tv_S_thetas","facebook_I_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_clicks_P_alphas","tv_S_alphas","facebook_I_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_clicks_P_gammas","tv_S_gammas","cluster","n","top_sol"
"11","1_264_7",0,0.461948792163004,0.0496162139849439,0.0496162139849439,0.144332804109325,0.701744707934956,0.154593172176575,0.0578239073216914,0.285917311247883,0.0436854216312408,0.382317078418359,0.507914016258765,0.458710907097831,0.639508677507523,0.846904909404141,0.841353894279343,0.27400988702379,0.785274924731243,0.433757073413537,0.699973673209642,0.363966208667129,0.179735547190068,3,42,FALSE
"12","1_269_2",0,0.461695443362857,0.0496128983513278,0.0496128983513278,0.144332804109325,0.701744707934956,0.154593172176575,0.0578239073216914,0.285917311247883,0.0436854216312408,0.382317078418359,0.507914016258765,0.458710907097831,0.639508677507523,0.846904909404141,0.841353894279343,0.236152937567473,0.785274924731243,0.433757073413537,0.699973673209642,0.363966208667129,0.179735547190068,3,42,FALSE
"13","1_271_4",0,0.44790600039992,0.0497443725037369,0.0497443725037369,0.0172922064276854,0.695905822823919,0.376691139508925,0.110100601741331,0.355475142024954,0.151969206797193,0.551334917973849,0.22804111100881,0.0657988094243867,0.811321221736892,0.0465699495387051,0.925678839712645,0.21785526567028,0.697839532012969,0.469524637856806,0.89071131371188,0.571273711141161,0.189172510967984,3,42,FALSE
"14","1_271_7",0,0.436927810927271,0.0496322388819488,0.0496322388819488,0.937959516192766,0.713733439835164,0.815645052532278,0.526573069914119,0.369349394234489,0.0326948268832024,0.465725792873542,0.729274253638576,0.434600161681641,0.987095352421674,0.412905710540449,0.993638846054253,0.264257892783388,0.77216526832689,0.0205027648828444,0.987772297196958,0.14940732097583,0.160475370135147,3,42,FALSE
"15","1_274_5",0,0.387136732766045,0.0507165479008016,0.0507165479008016,0.240146115426972,0.493398165877764,0.756584011786294,0.186652904515655,0.879706250796123,0.299441747148058,0.573289121515207,0.205582896043982,0.090470546350955,0.832925642443226,0.483935853577484,0.925590587952037,0.416071054385679,0.908941877932867,0.368577414234906,0.149705957122318,0.561104173555596,0.887413196254759,3,42,FALSE
"16","1_275_6",0,0.445162407344141,0.0496581233295935,0.0496581233295935,0.832128423438984,0.695905822823919,0.376691139508925,0.110100601741331,0.355475142024954,0.151969206797193,0.782111433946849,0.22804111100881,0.0657988094243867,0.811321221736892,0.0465699495387051,0.925678839712645,0.0172330832236633,0.697839532012969,0.469524637856806,0.89071131371188,0.571273711141161,0.189172510967984,3,42,FALSE
"17","1_279_1",0,0.371386873310899,0.0516403228743874,0.0516403228743874,0,0.614196163055401,0.966138978994398,0.23741139531544,0.217859170388944,0.0991172352381827,0.473896073882546,0.429599473444782,0.323035246137004,0.879838036036083,0.426619965939453,0.803261500613283,0.550387248283048,0.746052907782514,0.447595204589936,0.964325324464334,0.300331781970064,0.73243606511432,3,42,FALSE
"18","1_280_3",0,0.333179784570241,0.0543255121337426,0.0543255121337426,0.458180835887943,0.540513786480124,0.782958025745868,0.697910606953575,0.334359182811694,0.0049341946634267,0.517457898498912,0.520776494388303,0.171914089574655,0.602208850396471,0.755692712389642,0.88091975142036,0.729812031682854,0.0168518901892156,0.0606354838665977,0.606509594439153,0.833364007348455,0.883242534887086,2,53,FALSE
"19","1_282_3",0,0.334446495403555,0.0539782752037194,0.0539782752037194,0.176437721527567,0.513479876574917,0.792751735629908,0.299938624659675,0.26594221282872,0.287302298687325,0.583405690241736,0.157078919872892,0.182444873450548,0.554236417238498,0.922020378551546,0.794677246302898,0.690779464137772,0.0218660043005485,0.0578284456250276,0.551331823752045,0.79150976583092,0.746760286244225,2,53,FALSE
"20","1_284_3",0,0.434126085515814,0.0497531883794359,0.0497531883794359,0.832128423438984,0.90181713350357,0.776052936803511,0.110100601741331,0.355475142024954,0.151969206797193,0.782111433946849,0.22804111100881,0.229258185925726,0.667432929568652,0.0465699495387051,0.925678839712645,0.0172330832236633,0.249686023751682,0.0569463702928366,0.89071131371188,0.571273711141161,0.189172510967984,3,42,FALSE
"21","1_284_6",0,0.357871830215968,0.0518808761688229,0.0518808761688229,0.769893874448021,0.778429140854267,0.923580349655791,0.698452094726835,0.0581442488546589,0.00341390681665603,0.831923329994241,0.424179573891664,0.447860438839832,0.725002077073587,0.735163261612155,0.998054785527332,0.741879519846486,0.442362187055126,0.0135289969653598,0.711744055825981,0.436212158675953,0.716195104193758,2,53,FALSE
"22","2_191_5",0,0.367509940334565,0.0518872709954263,0.0518872709954263,0.184885805390226,0.543577045598723,0.949894724270087,0.0376191118535671,0.938868257635832,0.28984057501535,0.830518833508856,0.13647352269419,0.197795499022539,0.949634683653295,0.622507107335992,0.666789534379395,0.48611805491339,0.596866224483942,0.785843018599478,0.981802142124804,0.79306261369356,0.841457682243359,1,49,FALSE
"23","2_204_4",0,0.367002089953648,0.0519926152808496,0.0519926152808496,0.105023942680583,0.781487239942246,0.798159074601445,0.0638513048515347,0.938868257635832,0.28984057501535,0.830518833508856,0.237052521244215,0.149650499480744,0.986446422480994,0.73821580013706,0.666789534379395,0.319406566965286,0.470662083762336,0.75757055219304,0.582834865902176,0.79306261369356,0.841457682243359,1,49,FALSE
"24","2_211_6",0,0.433221791706234,0.0498988955739165,0.0498988955739165,0.834762360813802,0,0.996674791062299,0.0758846113698243,0.641986904559718,0.00521885881518668,0.824873840106385,0.563684998863219,0.367040754622676,0.842583540248143,0.62583967027249,0.661137141212343,0.225770764303807,0.424272496747864,0.794107926946295,0.694553152901506,0.904087623120933,0.804697289983797,1,49,FALSE
"25","2_212_6",0,0.354504769662577,0.0525571225628197,0.0525571225628197,0.269299168075032,0.860692769726332,0.989821674567504,0.740431961536805,0.654198510484551,0.0315366667636973,0.88648174679627,0.072242554323497,0.0123749383383798,0.479405661303294,0.166573480421943,0.759492393425824,0.47022246713918,0.365398203290078,0.775623520413408,0.723166975909172,0.993345596726912,0.973536656199395,1,49,FALSE
"26","2_213_4",0,0.400009407537931,0.0502486208478825,0.0502486208478825,0.585990344984821,0.709609649669985,0.917716568281942,0.205718564130173,0.632773505600305,0.00140129450996744,0.850997612276939,0.329551377720376,0.0387307283992665,0.702068019681228,0.160250769780629,0.763410919760257,0.210736760340284,0.691317996133424,0.845566285870065,0.36889680559157,0.972542495449241,0.972120266518228,1,49,FALSE
"27","2_217_7",0,0.411101252801182,0.0499905552960169,0.0499905552960169,0.656941495727711,0.707794314121777,0.89483435287254,0.351344966238195,1,0.00754451054181753,0.82011700255952,0.822418678129443,0.0238546126069313,0.915257079548752,0.826148711693529,0.845907705536947,0.0199243956946142,0.148684125775601,0.72158210966453,0.725704694273321,0.853345279116332,0.842383905954979,1,49,FALSE
"28","2_224_5",0,0.433011711126478,0.0499148299219103,0.0499148299219103,0.834762360813802,0,0.996674791062299,0.0758846113698243,0.641986904559718,0.00521885881518668,0.824873840106385,0.563684998863219,0.367040754622676,0.842583540248143,0.62583967027249,0.661137141212343,0.225770764303807,0.424272496747864,0.794107926946295,0.631530324491579,0.904087623120933,0.804697289983797,1,49,FALSE
